userid,vroot
10002,Knowledge Base|/kb
10244,Internet Explorer|/ie
10252,Internet Information Server|/iis
10252,Internet Explorer|/ie
10254,Germany|/germany
10255,Knowledge Base|/kb
10257,Microsoft.com Search|/search
10259,Free Downloads|/msdownload
10264,Visual Studio|/vstudio
10265,Visual Basic|/vbasic
10266,sports|/sports
10268,Free Downloads|/msdownload
10269,Products |/products
10269,FrontPage|/frontpage
10272,Free Downloads|/msdownload
10272,Windows 95|/windows95
10275,Jakarta|/visualj
10277,MS Publisher|/publisher
10278,Microsoft.com Search|/search
10281,Windows 95|/windows95
10281,Windows Family of OSs|/windows
10283,isapi|/isapi
10284,Knowledge Base|/kb
10286,MS Solutions Framework|/msf
10288,Free Downloads|/msdownload
10288,International IE content|/ie_intl
10290,Java Strategy and Info|/java
10290,Internet Site Construction for Developers|/sitebuilder
10291,SP Referral (ART)|/referral
10293,Free Downloads|/msdownload
10294,Sweden|/sverige
10298,Free Downloads|/msdownload
10301,Free Downloads|/msdownload
10303,Internet Explorer|/ie
10304,ActiveX Technology Development|/activex
10305,Web Site Builder's Gallery|/gallery
10305,Internet Site Construction for Developers|/sitebuilder
10307,IT Technical Information|/syspro
10308,Support Desktop|/support
10308,isapi|/isapi
10309,Internet Explorer|/ie
10311,sports|/sports
10311,Games|/games
10316,Products |/products
10319,FrontPage Support|/frontpagesupport
10319,ImageComposer|/imagecomposer
10319,Internet Site Construction for Developers|/sitebuilder
10319,Developer Workshop|/workshop
10319,FrontPage|/frontpage
10319,Internet Explorer|/ie
10321,MS Office Info|/office
10321,isapi|/isapi
10325,promo|/promo
10327,Microsoft.com Search|/search
10327,Knowledge Base|/kb
10333,Knowledge Base|/kb
10333,Visual Basic Support|/vbasicsupport
10335,Internet Development|/intdev
10335,SiteBuilder Network Membership|/sbnmember
10335,BackOffice|/backoffice
10336,Exchange|/exchange
10338,isapi|/isapi
10339,Windows 95|/windows95
10339,Products |/products
10340,Web Site Builder's Gallery|/gallery
10341,MS Office|/msoffice
10342,Windows Family of OSs|/windows
10342,Office Free Stuff|/officefreestuff
10344,Internet Explorer|/ie
10346,Free Downloads|/msdownload
10348,Java Strategy and Info|/java
10348,Exchange|/exchange
10348,Internet Explorer|/ie
10348,About Microsoft |/mscorp
10348,Visual FoxPro|/vfoxpro
10348,Windows NT Server|/ntserver
10349,Connecting Small Business|/smallbiz
10352,Free Downloads|/msdownload
10353,Windows Family of OSs|/windows
10361,Taiwan|/taiwan
10362,NetMeeting|/netmeeting
10362,MS in K-12 Education|/k-12
10362,MS Works|/works
10363,Windows NT Server|/ntserver
10365,Developer Network|/msdn
10365,NT Server Support|/ntserversupport
10365,Microsoft.com Search|/search
10367,Web Site Builder's Gallery|/gallery
10369,MS Office|/msoffice
10370,Knowledge Base|/kb
10371,Taiwan|/taiwan
10373,Free Downloads|/msdownload
10374,Products |/products
10376,regwiz|/regwiz
10376,Office Free Stuff|/officefreestuff
10381,Internet Site Construction for Developers|/sitebuilder
10381,Developer Workshop|/workshop
10385,Internet Explorer|/ie
10386,Web Site Builder's Gallery|/gallery
10386,Internet Site Construction for Developers|/sitebuilder
10388,Windows Family of OSs|/windows
10393,Internet Site Construction for Developers|/sitebuilder
10395,Products |/products
10396,Intranet Strategy|/intranet
10401,Microsoft.com Search|/search
10406,Developer Network|/msdn
10408,Internet Explorer|/ie
10410,Microsoft.com Search|/search
10414,Exchange Support|/exchangesupport
10414,isapi|/isapi
10415,Products |/products
10415,MS Word|/msword
10415,isapi|/isapi
10418,Microsoft.com Search|/search
10419,Microsoft.com Search|/search
10421,promo|/promo
10425,Internet Explorer|/ie
10426,Free Downloads|/msdownload
10427,Internet Explorer|/ie
10428,Corporate Desktop Evaluation|/organizations
10428,MS Office Info|/office
10429,regwiz|/regwiz
10430,Microsoft.com Search|/search
10433,Support Desktop|/support
10433,End User Produced View|/athome
10434,Internet Site Construction for Developers|/sitebuilder
10435,Internet Information Server|/iis
10436,Microsoft.com Search|/search
10437,Free Downloads|/msdownload
10439,Internet Explorer|/ie
10442,End User Produced View|/athome
10443,Microsoft.com Search|/search
10446,Internet Explorer|/ie
10448,Internet Explorer|/ie
10449,Products |/products
10452,Windows Family of OSs|/windows
10453,Windows Family of OSs|/windows
10454,Corporate Desktop Evaluation|/organizations
10454,SQL Server|/sql
10454,IT Technical Information|/syspro
10454,Products |/products
10454,Office Free Stuff|/officefreestuff
10454,Windows NT Server|/ntserver
10454,Office Reference|/officereference
10454,BackOffice|/backoffice
10457,regwiz|/regwiz
10457,MS Office Development|/officedev
10458,isapi|/isapi
10459,Internet Site Construction for Developers|/sitebuilder
10462,ActiveX Technology Development|/activex
10462,Windows Family of OSs|/windows
10462,SiteBuilder Network Membership|/sbnmember
10462,Internet Site Construction for Developers|/sitebuilder
10464,isapi|/isapi
10466,Windows 95|/windows95
10467,Products |/products
10471,Office Free Stuff|/officefreestuff
10474,Microsoft.com Search|/search
10475,Internet Explorer|/ie
10479,Windows NT Server|/ntserver
10479,MS Word News|/word
10479,Support Desktop|/support
10482,MS PowerPoint Support|/mspowerpointsupport
10484,Free Downloads|/msdownload
10486,Russia|/rus
10489,isapi|/isapi
10493,Support Desktop|/support
10494,Internet Site Construction for Developers|/sitebuilder
10495,Products |/products
10495,Microsoft.com Search|/search
10497,regwiz|/regwiz
10498,SP Referral (ART)|/referral
10500,Developer Workshop|/workshop
10502,Internet Site Construction for Developers|/sitebuilder
10503,SiteBuilder Network Membership|/sbnmember
10503,Internet Site Construction for Developers|/sitebuilder
10503,Jakarta|/visualj
10504,Web Site Builder's Gallery|/gallery
10504,Windows Family of OSs|/windows
10504,Support Desktop|/support
10506,MS Publisher|/publisher
10509,SQL Server|/sql
10511,isapi|/isapi
10512,isapi|/isapi
10513,isapi|/isapi
10515,FrontPage|/frontpage
10520,MS Office Development|/officedev
10520,MS Office Info|/office
10521,Developer Workshop|/workshop
10522,Free Downloads|/msdownload
10522,Microsoft Magazine|/magazine
10523,Windows Family of OSs|/windows
10523,SiteBuilder Network Membership|/sbnmember
10523,Internet Site Construction for Developers|/sitebuilder
10528,Windows95 Support|/windowssupport
10533,Free Downloads|/msdownload
10537,Internet Explorer|/ie
10538,Knowledge Base|/kb
10539,Products |/products
10539,MS Office Info|/office
10542,Free Downloads|/msdownload
10545,Internet Explorer|/ie
10549,Support Desktop|/support
10552,Products |/products
10553,Windows Family of OSs|/windows
10556,Windows 95|/windows95
10557,Microsoft.com Search|/search
10558,Free Downloads|/msdownload
10560,Sweden|/sverige
10560,Knowledge Base|/kb
10560,Support Desktop|/support
10560,NT Server Support|/ntserversupport
10561,Netherlands (Holland)|/netherlands
10562,Microsoft.com Search|/search
10564,Internet Site Construction for Developers|/sitebuilder
10571,MS Office Development|/officedev
10571,OutLook|/outlook
10572,Free Downloads|/msdownload
10572,Windows 95|/windows95
10572,Internet Site Construction for Developers|/sitebuilder
10573,Free Downloads|/msdownload
10573,MS Office Info|/office
10573,MS Office|/msoffice
10574,Knowledge Base|/kb
10575,MS in Education|/education
10577,Free Downloads|/msdownload
10585,Internet Explorer|/ie
10588,MS Word News|/word
10588,isapi|/isapi
10595,Training|/train_cert
10598,Developer Workshop|/workshop
10599,SiteBuilder Network Membership|/sbnmember
10600,Internet Explorer|/ie
10602,Visual Basic|/vbasic
10604,Products |/products
10604,Macintosh Office|/macoffice
10605,Windows Family of OSs|/windows
10606,Sidewalk|/sidewalk
10607,Industry Marketing Information (Vertical)|/industry
10607,Products |/products
10607,Job Openings|/jobs
10609,Germany|/germany
10612,MS Office|/msoffice
10612,Microsoft Home Essentials|/homeessentials
10620,Windows NT Server|/ntserver
10623,Exchange|/exchange
10624,isapi|/isapi
10624,Internet Explorer|/ie
10624,Powered by BackOffice|/powered
10631,Internet Site Construction for Developers|/sitebuilder
10632,Interactive Media Technologies|/imedia
10635,Internet Site Construction for Developers|/sitebuilder
10638,Visual C|/visualc
10642,Support Desktop|/support
10645,Executive Computing|/cio
10647,NT Server Support|/ntserversupport
10649,Products |/products
10649,Internet Explorer|/ie
10649,FrontPage|/frontpage
10651,Windows95 Support|/windowssupport
10651,Knowledge Base|/kb
10653,Corporate Desktop Evaluation|/organizations
10653,promo|/promo
10655,Microsoft.com Search|/search
10658,Internet Explorer|/ie
10659,Developer Workshop|/workshop
10660,Access Development|/accessdev
10660,Support Network Program Information|/supportnet
10660,WorldWide Offices - US Districts|/usa
10662,isapi|/isapi
10666,Windows Family of OSs|/windows
10668,Free Downloads|/msdownload
10668,Corporate Desktop Evaluation|/organizations
10668,Developer Network|/msdn
10669,Games|/games
10671,Windows Family of OSs|/windows
10671,Knowledge Base|/kb
10672,Windows Family of OSs|/windows
10675,Windows Family of OSs|/windows
10677,Works Support|/workssupport
10677,isapi|/isapi
10678,Products |/products
10680,Internet Site Construction for Developers|/sitebuilder
10680,Microsoft.com Search|/search
10686,Free Downloads|/msdownload
10686,Windows95 Support|/windowssupport
10686,Knowledge Base|/kb
10692,Games|/games
10694,End User Produced View|/athome
10696,Windows Family of OSs|/windows
10696,Internet Explorer|/ie
10697,Industry Marketing Information (Vertical)|/industry
10706,NT Server Support|/ntserversupport
10706,Executive Computing|/cio
10708,Microsoft.com Search|/search
10710,Free Downloads|/msdownload
10710,Developer Workshop|/workshop
10712,Support Desktop|/support
10712,Microsoft.com Search|/search
10713,Internet Explorer|/ie
10715,Free Downloads|/msdownload
10718,Internet Explorer|/ie
10718,End User Produced View|/athome
10721,Support Desktop|/support
10727,Windows Family of OSs|/windows
10727,Games|/games
10731,Microsoft.com Search|/search
10733,ActiveX Technology Development|/activex
10742,Windows Family of OSs|/windows
10743,Windows Family of OSs|/windows
10743,Knowledge Base|/kb
10743,isapi|/isapi
10744,Free Downloads|/msdownload
10744,isapi|/isapi
10744,End User Produced View|/athome
10745,Windows Family of OSs|/windows
10748,Internet Explorer|/ie
10752,MS Money Information|/moneyzone
10752,isapi|/isapi
10752,Microsoft.com Search|/search
10752,regwiz|/regwiz
10752,Systems Management Server|/smsmgmt
10752,SiteBuilder Network Membership|/sbnmember
10752,Internet Site Construction for Developers|/sitebuilder
10755,Free Downloads|/msdownload
10755,IE Support|/iesupport
10755,Windows Family of OSs|/windows
10756,regwiz|/regwiz
10756,Office Free Stuff|/officefreestuff
10757,MS Access Support|/msaccesssupport
10758,Products |/products
10758,Knowledge Base|/kb
10759,Windows Family of OSs|/windows
10760,Free Downloads|/msdownload
10763,Internet Explorer|/ie
10764,Free Downloads|/msdownload
10771,SiteBuilder Network Membership|/sbnmember
10772,Brazil|/brasil
10773,Jakarta|/visualj
10775,Windows Family of OSs|/windows
10779,Web Site Builder's Gallery|/gallery
10780,Products |/products
10781,Internet Explorer|/ie
10782,Microsoft.com Search|/search
10788,Visual Basic|/vbasic
10789,Products |/products
10790,IE Support|/iesupport
10790,N. American Automap|/automap
10791,NT Workstation Support|/ntwkssupport
10791,Windows NT Workstation|/ntworkstation
10793,Products |/products
10793,Games|/games
10793,Microsoft.com Search|/search
10795,NetMeeting|/netmeeting
10797,Support Desktop|/support
10798,International IE content|/ie_intl
10799,Internet Site Construction for Developers|/sitebuilder
10801,Free Downloads|/msdownload
10804,Internet Explorer|/ie
10806,Developer Media Development|/mediadev
10808,Knowledge Base|/kb
10809,Free Downloads|/msdownload
10810,NT Workstation Support|/ntwkssupport
10810,Knowledge Base|/kb
10810,Support Desktop|/support
10811,Web Site Builder's Gallery|/gallery
10814,SP Referral (ART)|/referral
10816,Windows Family of OSs|/windows
10817,Windows Family of OSs|/windows
10817,Internet Explorer|/ie
10818,Microsoft.com Search|/search
10818,BackOffice|/backoffice
10818,Internet Explorer|/ie
10819,Internet Explorer|/ie
10821,Exchange Support|/exchangesupport
10821,Exchange|/exchange
10822,Microsoft.com Search|/search
10823,Internet Explorer|/ie
10828,SiteBuilder Network Membership|/sbnmember
10830,Microsoft.com Search|/search
10833,Windows95 Support|/windowssupport
10833,isapi|/isapi
10833,Job Openings|/jobs
10835,Free Downloads|/msdownload
10835,Windows Family of OSs|/windows
10838,Windows95 Support|/windowssupport
10838,Windows Family of OSs|/windows
10840,Internet Explorer|/ie
10841,Windows Family of OSs|/windows
10842,Training|/train_cert
10842,Windows NT Workstation|/ntworkstation
10843,Free Downloads|/msdownload
10844,Products |/products
10844,isapi|/isapi
10846,sports|/sports
10847,Internet Explorer|/ie
10848,MS Access News|/msaccess
10849,Developer Network|/msdn
10850,MS Money Information|/moneyzone
10852,MS Word|/msword
10853,IT Technical Information|/syspro
10855,Windows 32 bit developer|/win32dev
10858,Microsoft.com Search|/search
10862,Internet Explorer|/ie
10864,Internet Explorer|/ie
10865,WorldWide Offices - US Districts|/usa
10865,SiteBuilder Network Membership|/sbnmember
10865,Internet Site Construction for Developers|/sitebuilder
10868,SiteBuilder Network Membership|/sbnmember
10871,Free Downloads|/msdownload
10873,Free Downloads|/msdownload
10874,Support Desktop|/support
10874,Knowledge Base|/kb
10874,Microsoft.com Search|/search
10878,isapi|/isapi
10879,Industry Marketing Information (Vertical)|/industry
10881,MS Schedule+ News|/scheduleplus
10884,Internet Explorer|/ie
10886,Support Desktop|/support
10887,Internet Explorer|/ie
10891,Internet Site Construction for Developers|/sitebuilder
10893,isapi|/isapi
10893,Windows 95|/windows95
10896,Free Downloads|/msdownload
10896,isapi|/isapi
10898,Free Downloads|/msdownload
10898,Visual InterDev|/vinterdev
10899,Free Downloads|/msdownload
10900,Windows NT Server|/ntserver
10901,promo|/promo
10902,Internet Site Construction for Developers|/sitebuilder
10905,Internet Explorer|/ie
10909,Microsoft.com Search|/search
10909,MS Office|/msoffice
10910,Exchange|/exchange
10915,FrontPage|/frontpage
10916,Products |/products
10919,Windows Family of OSs|/windows
10920,MS Office Info|/office
10921,Microsoft.com Search|/search
10923,Free Downloads|/msdownload
10923,isapi|/isapi
10925,Microsoft.com Search|/search
10928,Norway|/norge
10929,Free Downloads|/msdownload
10929,Windows95 Support|/windowssupport
10933,France|/france
10934,Connecting Small Business|/smallbiz
10939,Internet Site Construction for Developers|/sitebuilder
10940,Microsoft.com Search|/search
10942,Developer Network|/msdn
10942,Internet Site Construction for Developers|/sitebuilder
10945,Internet Explorer|/ie
10948,Internet Explorer|/ie
10951,Corporation Information|/corpinfo
10953,Developer Workshop|/workshop
10955,Internet Explorer|/ie
10958,Free Downloads|/msdownload
10958,Windows Family of OSs|/windows
10960,Free Downloads|/msdownload
10963,Free Downloads|/msdownload
10965,Free Downloads|/msdownload
10968,Microsoft.com Search|/search
10975,Microsoft.com Search|/search
10976,Free Downloads|/msdownload
10976,Support Desktop|/support
10977,Web Site Builder's Gallery|/gallery
10977,SP Referral (ART)|/referral
10977,Internet Site Construction for Developers|/sitebuilder
10979,Windows Family of OSs|/windows
10983,Internet Explorer|/ie
10984,Games|/games
10984,isapi|/isapi
10987,Windows Family of OSs|/windows
10987,Sweden|/sverige
10989,Knowledge Base|/kb
10991,IT Technical Information|/syspro
10991,Windows 95|/windows95
10991,End User Produced View|/athome
10992,New Zealand|/nz
10994,ActiveX Technology Development|/activex
10994,Internet Explorer|/ie
10996,IE Support|/iesupport
10998,Microsoft.com Search|/search
11000,Free Downloads|/msdownload
11000,Microsoft.com Search|/search
11002,Internet Site Construction for Developers|/sitebuilder
11005,Games|/games
11008,Developer Network|/msdn
11016,IE Support|/iesupport
11016,Internet Explorer|/ie
11019,Free Downloads|/msdownload
11022,Windows95 Support|/windowssupport
11022,Free Downloads|/msdownload
11022,Microsoft.com Search|/search
11026,MS in Education|/education
11028,International IE content|/ie_intl
11032,Products |/products
11032,isapi|/isapi
11033,Free Downloads|/msdownload
11037,SP Referral (ART)|/referral
11040,Products |/products
11040,MS Word|/msword
11040,MS Word News|/word
11044,Office Free Stuff|/officefreestuff
11044,MS Office Info|/office
11045,Job Openings|/jobs
11049,Internet Site Construction for Developers|/sitebuilder
11050,OutLook|/outlook
11050,Office Free Stuff|/officefreestuff
11053,Windows 95|/windows95
11054,Windows95 Support|/windowssupport
11054,isapi|/isapi
11056,Internet Explorer|/ie
11058,Knowledge Base|/kb
11059,Games Support|/gamessupport
11061,Free Downloads|/msdownload
11063,NetMeeting|/netmeeting
11068,Windows Family of OSs|/windows
11070,Free Downloads|/msdownload
11072,Free Downloads|/msdownload
11073,Internet Explorer|/ie
11074,Corporate Desktop Evaluation|/organizations
11074,Microsoft.com Search|/search
11083,Microsoft OLE DB|/oledb
11083,Visual InterDev|/vinterdev
11087,Access Development|/accessdev
11087,Developer Workshop|/workshop
11090,NT Server Support|/ntserversupport
11090,Windows95 Support|/windowssupport
11090,Windows NT Server|/ntserver
11095,Windows NT Workstation|/ntworkstation
11097,International IE content|/ie_intl
11098,Industry Marketing Information (Vertical)|/industry
11099,Free Downloads|/msdownload
11101,IT Technical Information|/syspro
11101,NT Workstation Support|/ntwkssupport
11104,Web Site Builder's Gallery|/gallery
11105,Training|/train_cert
11106,Free Downloads|/msdownload
11106,Product Catalog|/catalog
11106,MS Office Info|/office
11111,Windows Family of OSs|/windows
11114,ImageComposer|/imagecomposer
11115,Windows 32 bit developer|/win32dev
11119,End User Produced View|/athome
11122,Master Marketing Calendar|/events
11124,Windows Family of OSs|/windows
11127,SP Referral (ART)|/referral
11128,isapi|/isapi
11131,Executive Computing|/cio
11132,IT Technical Information|/syspro
11132,Support Desktop|/support
11132,Microsoft.com Search|/search
11133,End User Produced View|/athome
11140,SQL Server|/sql
11140,FrontPage|/frontpage
11144,Internet Explorer|/ie
11150,MS in Education|/education
11151,Jakarta|/visualj
11152,Support Desktop|/support
11154,Windows95 Support|/windowssupport
11156,FrontPage|/frontpage
11157,Microsoft.com Search|/search
11159,Windows 95|/windows95
11159,Knowledge Base|/kb
11160,Windows Family of OSs|/windows
11160,Support Desktop|/support
11160,Microsoft.com Search|/search
11166,Free Downloads|/msdownload
11166,Windows Family of OSs|/windows
11167,MS Proxy Server|/proxy
11169,Windows95 Support|/windowssupport
11169,Knowledge Base|/kb
11169,Microsoft.com Search|/search
11169,MS PowerPoint News|/powerpoint
11171,Internet Site Construction for Developers|/sitebuilder
11174,Products |/products
11175,Products |/products
11179,Free Downloads|/msdownload
11179,MS Word News|/word
11181,Developer Network|/msdn
11181,Microsoft.com Search|/search
11182,Norway|/norge
11187,NetMeeting|/netmeeting
11191,Corporation Information|/corpinfo
11191,Internet Explorer|/ie
11191,ActiveX Technology Development|/activex
11191,Windows 95|/windows95
11191,OLE Development|/oledev
11192,Free Downloads|/msdownload
11192,Office Free Stuff|/officefreestuff
11193,Internet Explorer|/ie
11196,Free Downloads|/msdownload
11196,MS Access|/access
11199,ActiveX Technology Development|/activex
11199,Internet Explorer|/ie
11201,Free Downloads|/msdownload
11201,Internet Explorer|/ie
11204,Developer Network|/msdn
11206,Windows 95|/windows95
11206,Windows Family of OSs|/windows
11207,Internet Site Construction for Developers|/sitebuilder
11208,Microsoft.com Search|/search
11209,Free Downloads|/msdownload
11213,Internet Site Construction for Developers|/sitebuilder
11216,SP Referral (ART)|/referral
11216,isapi|/isapi
11217,NetMeeting|/netmeeting
11217,Internet Explorer|/ie
11218,Support Desktop|/support
11219,Developer Network|/msdn
11220,Microsoft.com Search|/search
11221,Free Downloads|/msdownload
11221,Products |/products
11221,Internet Explorer|/ie
11222,Norway|/norge
11226,Internet Explorer|/ie
11227,Internet Development|/intdev
11227,Internet Explorer|/ie
11230,Windows95 Support|/windowssupport
11232,Internet Explorer|/ie
11233,Free Downloads|/msdownload
11233,Windows Family of OSs|/windows
11235,Windows NT Server|/ntserver
11236,Free Downloads|/msdownload
11239,Products |/products
11240,Support Desktop|/support
11244,Developer Network|/msdn
11244,Products |/products
11246,Microsoft.com Search|/search
11247,Products |/products
11247,FrontPage|/frontpage
11247,Microsoft.com Search|/search
11252,Belgium|/belgium
11252,Switzerland|/switzerland
11253,Free Downloads|/msdownload
11253,Windows Family of OSs|/windows
11254,Developer Workshop|/workshop
11256,N. American Automap|/automap
11257,Free Downloads|/msdownload
11258,Games|/games
11260,Free Downloads|/msdownload
11263,UK|/uk
11263,isapi|/isapi
11265,isapi|/isapi
11269,Free Downloads|/msdownload
11269,Internet Explorer|/ie
11270,MS Word|/msword
11272,Windows Family of OSs|/windows
11274,Windows Family of OSs|/windows
11275,Microsoft.com Search|/search
11276,isapi|/isapi
11278,Free Downloads|/msdownload
11279,Sweden|/sverige
11280,Free Downloads|/msdownload
11284,ActiveX Technology Development|/activex
11284,Microsoft.com Search|/search
11284,Knowledge Base|/kb
11285,Microsoft.com Search|/search
11286,Free Downloads|/msdownload
11291,isapi|/isapi
11292,Microsoft Press|/mspress
11296,Developer Workshop|/workshop
11299,Support Desktop|/support
11300,Internet Explorer|/ie
11303,Products |/products
11308,IE Support|/iesupport
11309,Microsoft Home Essentials|/homeessentials
11310,Sweden|/sverige
11311,Products |/products
11311,Internet Explorer|/ie
11313,Microsoft.com Search|/search
11320,MS PowerPoint|/mspowerpoint
11325,UK|/uk
11325,Microsoft.com Search|/search
11327,NT Server Support|/ntserversupport
11328,Free Downloads|/msdownload
11330,Sweden|/sverige
11331,Italy|/italy
11331,Management|/management
11331,Knowledge Base|/kb
11332,Windows 95|/windows95
11332,Windows NT Server|/ntserver
11332,MS Proxy Server|/proxy
11332,Windows Family of OSs|/windows
11336,isapi|/isapi
11336,Connecting Small Business|/smallbiz
11340,Internet Site Construction for Developers|/sitebuilder
11344,IT Technical Information|/syspro
11349,Internet Explorer|/ie
11353,Microsoft.com Search|/search
11357,Microsoft.com Search|/search
11358,Job Openings|/jobs
11359,Internet Development|/intdev
11359,SiteBuilder Network Membership|/sbnmember
11360,Games|/games
11366,Free Downloads|/msdownload
11367,FrontPage Support|/frontpagesupport
11367,Products |/products
11367,Office Developer Support|/offdevsupport
11367,Support Desktop|/support
11368,Access Development|/accessdev
11368,Microsoft.com Search|/search
11369,Systems Management Server|/smsmgmt
11369,Products |/products
11371,Microsoft.com Search|/search
11373,International IE content|/ie_intl
11373,Microsoft.com Search|/search
11374,Windows 95|/windows95
11374,Windows Family of OSs|/windows
11374,Support Desktop|/support
11379,Knowledge Base|/kb
11382,Support Desktop|/support
11383,Windows CE|/windowsce
11383,isapi|/isapi
11385,Microsoft.com Search|/search
11386,Free Downloads|/msdownload
11386,Internet Explorer|/ie
11387,International IE content|/ie_intl
11393,Developer Network|/msdn
11393,Visual Studio|/vstudio
11394,Support Desktop|/support
11395,Internet Explorer|/ie
11399,Internet Explorer|/ie
11407,Mastering Series|/mastering
11408,Free Downloads|/msdownload
11408,Jakarta|/visualj
11411,Products |/products
11412,End User Produced View|/athome
11413,Products |/products
11413,Corporate Desktop Evaluation|/organizations
11415,SiteBuilder Network Membership|/sbnmember
11416,End User Produced View|/athome
11419,Free Downloads|/msdownload
11419,Internet Explorer|/ie
11420,Free Downloads|/msdownload
11420,isapi|/isapi
11421,Microsoft.com Search|/search
11422,Microsoft.com Search|/search
